customer_code,rating,first_choice_product,first_choice_building,acceptable_total_price,money_status,authority_status,need_fit_status,unresolved_issue,as_of_date
C023,B+,105㎡小高层,G1,215-235万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C024,B+,105㎡小高层,G1,215-235万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C025,B+,105㎡小高层,G1,215-235万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C026,B+,105㎡小高层,G1,215-235万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C027,B+,105㎡小高层,G1,215-235万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C028,B+,105㎡小高层,G1,215-235万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C029,B,105㎡小高层,G1,215-235万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C030,B,105㎡小高层,G1,215-235万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C031,B,105㎡小高层,G1,215-235万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C032,B,105㎡小高层,G1,215-235万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C033,B,105㎡小高层,G1,215-235万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C034,B,105㎡小高层,G1,215-235万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C035,B,105㎡小高层,G1,215-235万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C036,B-,105㎡小高层,G1,215-235万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C037,B-,105㎡小高层,G1,215-235万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C038,B-,105㎡小高层,G1,215-235万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C039,B-,105㎡小高层,G1,215-235万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C040,B-,105㎡小高层,G1,215-235万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C041,C+,105㎡小高层,G1,215-235万元,partial,pending,matched,短期观望市场价格,2026-07-19
C042,C+,105㎡小高层,G1,215-235万元,partial,pending,matched,短期观望市场价格,2026-07-19
C043,C,105㎡小高层,G1,215-235万元,partial,pending,matched,家庭意见尚未统一,2026-07-19
C044,C-,105㎡小高层,G1,215-235万元,partial,pending,weak,预算与意向房源存在明显差距,2026-07-19
C045,D,105㎡小高层,G1,215-235万元,partial,pending,weak,无明确购房计划，停止常规跟进,2026-07-19
C046,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C047,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C048,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C049,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C050,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C051,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C052,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C053,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C054,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C055,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C056,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C057,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C058,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C059,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C060,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C061,A,125㎡小高层,G1,265-285万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C062,B+,125㎡小高层,G1,265-285万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C063,B+,125㎡小高层,G1,265-285万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C064,B+,125㎡小高层,G1,265-285万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C065,B+,125㎡小高层,G1,265-285万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C066,B+,125㎡小高层,G1,265-285万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C067,B+,125㎡小高层,G1,265-285万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C068,B+,125㎡小高层,G1,265-285万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C069,B+,125㎡小高层,G1,265-285万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C070,B,125㎡小高层,G1,265-285万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C071,B,125㎡小高层,G1,265-285万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C072,B,125㎡小高层,G1,265-285万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C073,B,125㎡小高层,G1,265-285万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C074,B,125㎡小高层,G1,265-285万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C075,B,125㎡小高层,G1,265-285万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C076,B-,125㎡小高层,G1,265-285万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C077,B-,125㎡小高层,G1,265-285万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C078,B-,125㎡小高层,G1,265-285万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C079,B-,125㎡小高层,G1,265-285万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C080,C+,125㎡小高层,G1,265-285万元,partial,pending,matched,短期观望市场价格,2026-07-19
C081,C+,125㎡小高层,G1,265-285万元,partial,pending,matched,短期观望市场价格,2026-07-19
C082,C+,125㎡小高层,G1,265-285万元,partial,pending,matched,短期观望市场价格,2026-07-19
C083,C,125㎡小高层,G1,265-285万元,partial,pending,matched,家庭意见尚未统一,2026-07-19
C084,C,125㎡小高层,G1,265-285万元,partial,pending,matched,家庭意见尚未统一,2026-07-19
C085,C-,125㎡小高层,G1,265-285万元,partial,pending,weak,预算与意向房源存在明显差距,2026-07-19
C086,C-,125㎡小高层,G1,265-285万元,partial,pending,weak,预算与意向房源存在明显差距,2026-07-19
C087,D,125㎡小高层,G1,265-285万元,partial,pending,weak,无明确购房计划，停止常规跟进,2026-07-19
C088,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C089,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C090,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C091,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C092,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C093,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C094,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C095,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C096,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C097,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C098,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C099,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C100,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C101,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C102,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C103,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C104,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C105,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C106,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C107,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C108,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C109,A,132㎡洋房,Y1,300-325万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C110,B+,132㎡洋房,Y1,300-325万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C111,B+,132㎡洋房,Y1,300-325万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C112,B+,132㎡洋房,Y1,300-325万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C113,B+,132㎡洋房,Y1,300-325万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C114,B+,132㎡洋房,Y1,300-325万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C115,B+,132㎡洋房,Y1,300-325万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C116,B+,132㎡洋房,Y1,300-325万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C117,B+,132㎡洋房,Y1,300-325万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C118,B+,132㎡洋房,Y1,300-325万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C119,B,132㎡洋房,Y1,300-325万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C120,B,132㎡洋房,Y1,300-325万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C121,B,132㎡洋房,Y1,300-325万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C122,B,132㎡洋房,Y1,300-325万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C123,B,132㎡洋房,Y1,300-325万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C124,B,132㎡洋房,Y1,300-325万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C125,B,132㎡洋房,Y1,300-325万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C126,B,132㎡洋房,Y1,300-325万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C127,B-,132㎡洋房,Y1,300-325万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C128,B-,132㎡洋房,Y1,300-325万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C129,B-,132㎡洋房,Y1,300-325万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C130,B-,132㎡洋房,Y1,300-325万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C131,B-,132㎡洋房,Y1,300-325万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C132,C+,132㎡洋房,Y1,300-325万元,partial,pending,matched,短期观望市场价格,2026-07-19
C133,C+,132㎡洋房,Y1,300-325万元,partial,pending,matched,短期观望市场价格,2026-07-19
C134,C+,132㎡洋房,Y1,300-325万元,partial,pending,matched,短期观望市场价格,2026-07-19
C135,C+,132㎡洋房,Y1,300-325万元,partial,pending,matched,短期观望市场价格,2026-07-19
C136,C,132㎡洋房,Y1,300-325万元,partial,pending,matched,家庭意见尚未统一,2026-07-19
C137,C,132㎡洋房,Y1,300-325万元,partial,pending,matched,家庭意见尚未统一,2026-07-19
C138,C,132㎡洋房,Y1,300-325万元,partial,pending,matched,家庭意见尚未统一,2026-07-19
C139,C-,132㎡洋房,Y1,300-325万元,partial,pending,weak,预算与意向房源存在明显差距,2026-07-19
C140,D,132㎡洋房,Y1,300-325万元,partial,pending,weak,无明确购房计划，停止常规跟进,2026-07-19
C141,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C142,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C143,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C144,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C145,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C146,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C147,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C148,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C149,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C150,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C151,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C152,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C153,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C154,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C155,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C156,A,168㎡洋房,Y3,420-450万元,ready,ready,matched,仅需确认选房顺序和付款资料,2026-07-19
C157,B+,168㎡洋房,Y3,420-450万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C158,B+,168㎡洋房,Y3,420-450万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C159,B+,168㎡洋房,Y3,420-450万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C160,B+,168㎡洋房,Y3,420-450万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C161,B+,168㎡洋房,Y3,420-450万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C162,B+,168㎡洋房,Y3,420-450万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C163,B+,168㎡洋房,Y3,420-450万元,ready,pending,matched,决策人将在开盘前到场,2026-07-19
C164,B,168㎡洋房,Y3,420-450万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C165,B,168㎡洋房,Y3,420-450万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C166,B,168㎡洋房,Y3,420-450万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C167,B,168㎡洋房,Y3,420-450万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C168,B,168㎡洋房,Y3,420-450万元,partial,pending,matched,需完成月供测算或竞品复访比较,2026-07-19
C169,B-,168㎡洋房,Y3,420-450万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C170,B-,168㎡洋房,Y3,420-450万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C171,B-,168㎡洋房,Y3,420-450万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C172,B-,168㎡洋房,Y3,420-450万元,partial,pending,matched,需卖房或补足首付款,2026-07-19
C173,C+,168㎡洋房,Y3,420-450万元,partial,pending,matched,短期观望市场价格,2026-07-19
C174,C+,168㎡洋房,Y3,420-450万元,partial,pending,matched,短期观望市场价格,2026-07-19
C175,C+,168㎡洋房,Y3,420-450万元,partial,pending,matched,短期观望市场价格,2026-07-19
C176,C+,168㎡洋房,Y3,420-450万元,partial,pending,matched,短期观望市场价格,2026-07-19
C177,C+,168㎡洋房,Y3,420-450万元,partial,pending,matched,短期观望市场价格,2026-07-19
C178,C,168㎡洋房,Y3,420-450万元,partial,pending,matched,家庭意见尚未统一,2026-07-19
C179,C,168㎡洋房,Y3,420-450万元,partial,pending,matched,家庭意见尚未统一,2026-07-19
C180,C,168㎡洋房,Y3,420-450万元,partial,pending,matched,家庭意见尚未统一,2026-07-19
C181,C,168㎡洋房,Y3,420-450万元,partial,pending,matched,家庭意见尚未统一,2026-07-19
C182,C-,168㎡洋房,Y3,420-450万元,partial,pending,weak,预算与意向房源存在明显差距,2026-07-19
C183,C-,168㎡洋房,Y3,420-450万元,partial,pending,weak,预算与意向房源存在明显差距,2026-07-19
C184,D,168㎡洋房,Y3,420-450万元,partial,pending,weak,无明确购房计划，停止常规跟进,2026-07-19
