unit_id,building,floor,unit,product,area_sqm,requested_net_price_per_sqm,floor_price_per_sqm,list_price_per_sqm,total_price_yuan,target_sale
Y1-0101,Y1,1,01,132㎡洋房,132,23220,22720,23938,3065040,no
Y1-0102,Y1,1,02,132㎡洋房,132,23120,22620,23835,3051840,no
Y1-0103,Y1,1,03,132㎡洋房,132,23270,22770,23990,3071640,no
Y1-0104,Y1,1,04,132㎡洋房,132,23170,22670,23887,3058440,no
Y1-0201,Y1,2,01,132㎡洋房,132,23340,22840,24062,3080880,yes
Y1-0202,Y1,2,02,132㎡洋房,132,23240,22740,23959,3067680,no
Y1-0203,Y1,2,03,132㎡洋房,132,23390,22890,24113,3087480,yes
Y1-0204,Y1,2,04,132㎡洋房,132,23290,22790,24010,3074280,no
Y1-0301,Y1,3,01,132㎡洋房,132,23460,22960,24186,3096720,yes
Y1-0302,Y1,3,02,132㎡洋房,132,23360,22860,24082,3083520,yes
Y1-0303,Y1,3,03,132㎡洋房,132,23510,23010,24237,3103320,yes
Y1-0304,Y1,3,04,132㎡洋房,132,23410,22910,24134,3090120,yes
Y1-0401,Y1,4,01,132㎡洋房,132,23580,23080,24309,3112560,yes
Y1-0402,Y1,4,02,132㎡洋房,132,23480,22980,24206,3099360,yes
Y1-0403,Y1,4,03,132㎡洋房,132,23630,23130,24361,3119160,yes
Y1-0404,Y1,4,04,132㎡洋房,132,23530,23030,24258,3105960,yes
Y1-0501,Y1,5,01,132㎡洋房,132,23700,23200,24433,3128400,yes
Y1-0502,Y1,5,02,132㎡洋房,132,23600,23100,24330,3115200,yes
Y1-0503,Y1,5,03,132㎡洋房,132,23750,23250,24485,3135000,yes
Y1-0504,Y1,5,04,132㎡洋房,132,23650,23150,24381,3121800,yes
Y1-0601,Y1,6,01,132㎡洋房,132,23820,23320,24557,3144240,yes
Y1-0602,Y1,6,02,132㎡洋房,132,23720,23220,24454,3131040,yes
Y1-0603,Y1,6,03,132㎡洋房,132,23870,23370,24608,3150840,yes
Y1-0604,Y1,6,04,132㎡洋房,132,23770,23270,24505,3137640,yes
Y1-0701,Y1,7,01,132㎡洋房,132,23940,23440,24680,3160080,yes
Y1-0702,Y1,7,02,132㎡洋房,132,23840,23340,24577,3146880,yes
Y1-0703,Y1,7,03,132㎡洋房,132,23990,23490,24732,3166680,yes
Y1-0704,Y1,7,04,132㎡洋房,132,23890,23390,24629,3153480,yes
Y1-0801,Y1,8,01,132㎡洋房,132,24060,23560,24804,3175920,yes
Y1-0802,Y1,8,02,132㎡洋房,132,23960,23460,24701,3162720,yes
Y1-0803,Y1,8,03,132㎡洋房,132,24110,23610,24856,3182520,yes
Y1-0804,Y1,8,04,132㎡洋房,132,24010,23510,24753,3169320,yes
Y1-0901,Y1,9,01,132㎡洋房,132,24180,23680,24928,3191760,yes
Y1-0902,Y1,9,02,132㎡洋房,132,24080,23580,24825,3178560,yes
Y1-0903,Y1,9,03,132㎡洋房,132,24230,23730,24979,3198360,yes
Y1-0904,Y1,9,04,132㎡洋房,132,24130,23630,24876,3185160,yes
Y1-1001,Y1,10,01,132㎡洋房,132,24300,23800,25052,3207600,no
Y1-1002,Y1,10,02,132㎡洋房,132,24200,23700,24948,3194400,yes
Y1-1003,Y1,10,03,132㎡洋房,132,24350,23850,25103,3214200,no
Y1-1004,Y1,10,04,132㎡洋房,132,24250,23750,25000,3201000,yes
Y1-1101,Y1,11,01,132㎡洋房,132,24420,23920,25175,3223440,no
Y1-1102,Y1,11,02,132㎡洋房,132,24320,23820,25072,3210240,no
Y1-1103,Y1,11,03,132㎡洋房,132,24470,23970,25227,3230040,no
Y1-1104,Y1,11,04,132㎡洋房,132,24370,23870,25124,3216840,no
Y3-0101,Y3,1,01,168㎡洋房,168,25140,24640,25918,4223520,no
Y3-0102,Y3,1,02,168㎡洋房,168,25040,24540,25814,4206720,no
Y3-0103,Y3,1,03,168㎡洋房,168,25190,24690,25969,4231920,no
Y3-0104,Y3,1,04,168㎡洋房,168,25090,24590,25866,4215120,no
Y3-0201,Y3,2,01,168㎡洋房,168,25280,24780,26062,4247040,no
Y3-0202,Y3,2,02,168㎡洋房,168,25180,24680,25959,4230240,no
Y3-0203,Y3,2,03,168㎡洋房,168,25330,24830,26113,4255440,no
Y3-0204,Y3,2,04,168㎡洋房,168,25230,24730,26010,4238640,no
Y3-0301,Y3,3,01,168㎡洋房,168,25420,24920,26206,4270560,yes
Y3-0302,Y3,3,02,168㎡洋房,168,25320,24820,26103,4253760,no
Y3-0303,Y3,3,03,168㎡洋房,168,25470,24970,26258,4278960,yes
Y3-0304,Y3,3,04,168㎡洋房,168,25370,24870,26155,4262160,yes
Y3-0401,Y3,4,01,168㎡洋房,168,25560,25060,26351,4294080,yes
Y3-0402,Y3,4,02,168㎡洋房,168,25460,24960,26247,4277280,yes
Y3-0403,Y3,4,03,168㎡洋房,168,25610,25110,26402,4302480,yes
Y3-0404,Y3,4,04,168㎡洋房,168,25510,25010,26299,4285680,yes
Y3-0501,Y3,5,01,168㎡洋房,168,25700,25200,26495,4317600,yes
Y3-0502,Y3,5,02,168㎡洋房,168,25600,25100,26392,4300800,yes
Y3-0503,Y3,5,03,168㎡洋房,168,25750,25250,26546,4326000,yes
Y3-0504,Y3,5,04,168㎡洋房,168,25650,25150,26443,4309200,yes
Y3-0601,Y3,6,01,168㎡洋房,168,25840,25340,26639,4341120,yes
Y3-0602,Y3,6,02,168㎡洋房,168,25740,25240,26536,4324320,yes
Y3-0603,Y3,6,03,168㎡洋房,168,25890,25390,26691,4349520,yes
Y3-0604,Y3,6,04,168㎡洋房,168,25790,25290,26588,4332720,yes
Y3-0701,Y3,7,01,168㎡洋房,168,25980,25480,26784,4364640,yes
Y3-0702,Y3,7,02,168㎡洋房,168,25880,25380,26680,4347840,yes
Y3-0703,Y3,7,03,168㎡洋房,168,26030,25530,26835,4373040,yes
Y3-0704,Y3,7,04,168㎡洋房,168,25930,25430,26732,4356240,yes
Y3-0801,Y3,8,01,168㎡洋房,168,26120,25620,26928,4388160,yes
Y3-0802,Y3,8,02,168㎡洋房,168,26020,25520,26825,4371360,yes
Y3-0803,Y3,8,03,168㎡洋房,168,26170,25670,26979,4396560,yes
Y3-0804,Y3,8,04,168㎡洋房,168,26070,25570,26876,4379760,yes
Y3-0901,Y3,9,01,168㎡洋房,168,26260,25760,27072,4411680,yes
Y3-0902,Y3,9,02,168㎡洋房,168,26160,25660,26969,4394880,yes
Y3-0903,Y3,9,03,168㎡洋房,168,26310,25810,27124,4420080,no
Y3-0904,Y3,9,04,168㎡洋房,168,26210,25710,27021,4403280,yes
Y3-1001,Y3,10,01,168㎡洋房,168,26400,25900,27216,4435200,no
Y3-1002,Y3,10,02,168㎡洋房,168,26300,25800,27113,4418400,no
Y3-1003,Y3,10,03,168㎡洋房,168,26450,25950,27268,4443600,no
Y3-1004,Y3,10,04,168㎡洋房,168,26350,25850,27165,4426800,no
Y3-1101,Y3,11,01,168㎡洋房,168,26540,26040,27361,4458720,no
Y3-1102,Y3,11,02,168㎡洋房,168,26440,25940,27258,4441920,no
Y3-1103,Y3,11,03,168㎡洋房,168,26590,26090,27412,4467120,no
Y3-1104,Y3,11,04,168㎡洋房,168,26490,25990,27309,4450320,no
